product_row_id,product_id,product_name,total_profit,mean_order_profit,cv_order_profit,pct_orders_loss,profit_scale,n_orders,cv_not_estimable,flag_loss,flag_volatility,flag_impact,n_tail_flags,fallback_assignment_flag,assignment_basis,primary_tail_type,loss_profit_scale_threshold,volatility_cv_body_p95,impact_profit_scale_body_p95,mean_profit_body_lower_boundary,mean_profit_body_upper_boundary
0,TEC-CO-10004722,Canon imageCLASS 2200 Advanced Copier,25199.928,5039.9856,0.5499442985887083,0.0,1.0,5,False,False,False,True,1,False,profit_scale_above_body_p95,Extreme Impact Tail,-0.001,6.646549616704494,0.026801778957463527,-229.796274,551.8853759999995
1,OFF-BI-10003527,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,7753.039,775.3039,2.0137278562785217,0.2,0.3076611568096544,10,False,False,False,True,1,False,profit_scale_above_body_p95,Extreme Impact Tail,-0.001,6.646549616704494,0.026801778957463527,-229.796274,551.8853759999995
2,TEC-CO-10001449,Hewlett Packard LaserJet 3310 Copier,6983.8836,872.98545,0.9420202092562737,0.0,0.2771390299210379,8,False,False,False,True,1,False,profit_scale_above_body_p95,Extreme Impact Tail,-0.001,6.646549616704494,0.026801778957463527,-229.796274,551.8853759999995
3,TEC-CO-10003763,Canon PC1060 Personal Laser Copier,4570.9347,1142.733675,0.7159900715763089,0.0,0.18138681586709296,4,False,False,False,True,1,False,profit_scale_above_body_p95,Extreme Impact Tail,-0.001,6.646549616704494,0.026801778957463527,-229.796274,551.8853759999995
4,TEC-MA-10001127,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",4094.9766,1364.9922,1.4795924821274122,0.3333333333333333,0.1624995357129592,3,False,False,False,True,1,False,profit_scale_above_body_p95,Extreme Impact Tail,-0.001,6.646549616704494,0.026801778957463527,-229.796274,551.8853759999995
5,TEC-MA-10003979,Ativa V4110MDD Micro-Cut Shredder,3772.9461,1886.47305,0.3856428210156909,0.0,0.14972051110622223,2,False,False,False,True,1,False,profit_scale_above_body_p95,Extreme Impact Tail,-0.001,6.646549616704494,0.026801778957463527,-229.796274,551.8853759999995
6,TEC-MA-10001047,"3D Systems Cube Printer, 2nd Generation, Magenta",3717.9714000000004,1858.9857000000002,0.3856420553880657,0.0,0.1475389691589595,2,False,False,False,True,1,False,profit_scale_above_body_p95,Extreme Impact Tail,-0.001,6.646549616704494,0.026801778957463527,-229.796274,551.8853759999995
7,TEC-AC-10002049,Plantronics Savi W720 Multi-Device Wireless Headset System,3696.2819999999997,528.0402857142857,0.3444449827627768,0.0,0.14667827622364635,7,False,False,False,True,1,False,profit_scale_above_body_p95,Extreme Impact Tail,-0.001,6.646549616704494,0.026801778957463527,-229.796274,551.8853759999995
8,OFF-BI-10001120,Ibico EPK-21 Electric Binding System,3345.2823,1115.0941,3.4138792943345844,0.3333333333333333,0.13274967690383876,3,False,False,False,True,1,False,profit_scale_above_body_p95,Extreme Impact Tail,-0.001,6.646549616704494,0.026801778957463527,-229.796274,551.8853759999995
9,TEC-MA-10000045,Zebra ZM400 Thermal Label Printer,3343.536,1671.768,0.4713330979314393,0.0,0.1326803790867974,2,False,False,False,True,1,False,profit_scale_above_body_p95,Extreme Impact Tail,-0.001,6.646549616704494,0.026801778957463527,-229.796274,551.8853759999995
