product_id,product_name,total_sales,total_profit,profit_margin,category,sub_category,mean_order_profit,pct_orders_loss
TEC-CO-10004722,Canon imageCLASS 2200 Advanced Copier,61599.824,25199.928,0.40909090909090906,Technology,Copiers,5039.9856,0.0
OFF-BI-10003527,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,27453.384,7753.039,0.28240740740740744,Office Supplies,Binders,775.3039,0.2
TEC-CO-10001449,Hewlett Packard LaserJet 3310 Copier,18839.686,6983.8836,0.37070063694267513,Technology,Copiers,872.98545,0.0
TEC-CO-10003763,Canon PC1060 Personal Laser Copier,11619.834,4570.9347,0.3933734939759036,Technology,Copiers,1142.733675,0.0
TEC-MA-10001127,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",18374.895,4094.9766,0.22285714285714284,Technology,Machines,1364.9922,0.3333333333333333
TEC-MA-10003979,Ativa V4110MDD Micro-Cut Shredder,7699.89,3772.9461,0.49,Technology,Machines,1886.47305,0.0
TEC-MA-10001047,"3D Systems Cube Printer, 2nd Generation, Magenta",14299.89,3717.9714000000004,0.26,Technology,Machines,1858.9857000000002,0.0
TEC-AC-10002049,Plantronics Savi W720 Multi-Device Wireless Headset System,9367.289999999999,3696.2819999999997,0.3945945945945946,Technology,Accessories,528.0402857142857,0.0
OFF-BI-10001120,Ibico EPK-21 Electric Binding System,15875.916000000001,3345.2823,0.2107142857142857,Office Supplies,Binders,1115.0941,0.3333333333333333
TEC-MA-10000045,Zebra ZM400 Thermal Label Printer,6965.700000000001,3343.536,0.48,Technology,Machines,1671.768,0.0
OFF-AP-10002945,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,11304.44,3247.02,0.28723404255319146,Office Supplies,Appliances,405.8775,0.0
TEC-CO-10002095,Hewlett Packard 610 Color Digital Copier / Printer,8899.822,3124.9375,0.35112359550561795,Technology,Copiers,446.41964285714283,0.0
TEC-AC-10003033,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,10822.36,3085.0325,0.2850609756097561,Technology,Accessories,308.50325,0.0
